               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11256,            0.088081,            0.027385,            0.018927,             0.31579,             0.01303,           0.0024486,             0.11521,            0.073264,            0.027628,                 0.1,                   0,                   0
                   1,             0.11433,            0.097368,            0.027007,            0.018576,             0.31579,            0.012526,           0.0023661,              0.1152,            0.073306,            0.027624,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11373,            0.095504,             0.02763,            0.018293,             0.31579,             0.01207,           0.0022883,             0.11514,            0.073404,            0.027608,            0.098121,           0.0001208,           0.0001208
                   3,             0.11469,             0.13174,            0.027269,            0.018018,             0.31579,            0.012159,           0.0022917,             0.11496,            0.073632,            0.027556,            0.097122,           0.0001218,           0.0001218
                   4,             0.11422,            0.091106,            0.027135,            0.018127,             0.31579,            0.012292,           0.0023135,             0.11472,            0.073933,            0.027509,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11273,            0.079877,            0.027549,            0.032051,             0.43478,            0.024811,           0.0057504,             0.11658,            0.079295,            0.027518,                 0.1,                   0,                   0
                   1,             0.11144,            0.091178,            0.027418,            0.031447,             0.43478,            0.024527,           0.0056012,             0.11652,            0.079434,            0.027512,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11207,            0.083206,            0.027574,            0.031447,             0.43478,            0.024305,           0.0047017,              0.1164,            0.079631,            0.027497,            0.098121,           0.0001208,           0.0001208
                   3,             0.11335,             0.12173,            0.027374,            0.032051,             0.43478,            0.024642,           0.0047713,             0.11627,            0.079857,            0.027465,            0.097122,           0.0001218,           0.0001218
                   4,             0.11279,            0.081656,            0.027379,            0.032258,             0.43478,             0.02448,           0.0056779,             0.11612,            0.080068,             0.02746,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11303,             0.10989,            0.027376,            0.018634,             0.35294,            0.012773,           0.0024059,             0.11612,             0.06656,            0.027553,                 0.1,                   0,                   0
                   1,             0.11252,             0.10754,            0.027473,            0.018462,             0.35294,             0.01257,           0.0023706,             0.11609,            0.066612,            0.027546,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11065,            0.095001,            0.027377,             0.01548,             0.29412,            0.010755,           0.0019981,             0.11605,            0.066685,            0.027536,            0.098121,           0.0001208,           0.0001208
                   3,             0.11405,             0.13502,            0.027535,            0.018182,             0.35294,            0.012378,           0.0023331,             0.11581,            0.066931,            0.027483,            0.097122,           0.0001218,           0.0001218
                   4,             0.11253,            0.085716,            0.027607,            0.018182,             0.35294,            0.012419,           0.0023362,             0.11568,            0.067054,            0.027455,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11422,            0.095942,            0.027237,            0.025478,             0.36364,            0.018575,           0.0039086,             0.11727,            0.076472,            0.027854,                 0.1,                   0,                   0
                   1,             0.11286,            0.096661,            0.027669,            0.025316,             0.36364,            0.018677,           0.0039198,             0.11716,            0.076705,            0.027844,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11119,            0.086429,            0.027328,            0.025478,             0.36364,            0.018807,           0.0039465,             0.11703,            0.076904,             0.02782,            0.098121,           0.0001208,           0.0001208
                   3,             0.11354,            0.094557,            0.027181,               0.025,             0.36364,            0.018981,           0.0043937,             0.11688,            0.077144,            0.027803,            0.097122,           0.0001218,           0.0001218
                   4,             0.11372,             0.12703,            0.027618,            0.025157,             0.36364,            0.019288,            0.004454,             0.11668,            0.077407,            0.027774,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11408,              0.1033,            0.027359,             0.01227,             0.33333,           0.0084772,           0.0012129,             0.11578,            0.056767,            0.027351,                 0.1,                   0,                   0
                   1,             0.11364,              0.0963,            0.027616,            0.011976,             0.33333,           0.0083798,            0.001197,             0.11558,            0.056936,            0.027306,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11149,            0.087457,            0.027338,            0.011905,             0.33333,           0.0080088,           0.0011499,             0.11562,            0.056894,            0.027286,            0.098121,           0.0001208,           0.0001208
                   3,             0.11337,             0.10205,            0.027384,           0.0059172,             0.16667,           0.0038503,          0.00038503,             0.11561,            0.056872,            0.027238,            0.097122,           0.0001218,           0.0001218
                   4,             0.11433,             0.13215,            0.027597,            0.011696,             0.33333,           0.0078434,           0.0011266,             0.11543,               0.057,            0.027168,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11413,            0.093345,            0.027155,            0.038217,                 0.5,            0.031112,            0.008049,             0.11574,            0.082158,            0.027175,                 0.1,                   0,                   0
                   1,             0.11282,            0.094433,            0.027664,            0.037975,                 0.5,            0.031205,           0.0076147,             0.11564,            0.082387,            0.027158,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11034,            0.083604,            0.027365,            0.038217,                 0.5,            0.031267,           0.0076118,             0.11551,             0.08261,            0.027133,            0.098121,           0.0001208,           0.0001208
                   3,              0.1129,            0.094172,            0.027132,            0.037736,                 0.5,            0.030837,           0.0056129,             0.11536,            0.082887,            0.027113,            0.097122,           0.0001218,           0.0001218
                   4,             0.11347,              0.1229,            0.027593,            0.037736,                 0.5,            0.030686,           0.0060355,             0.11516,            0.083162,            0.027078,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11413,            0.093345,            0.027155,            0.038217,                 0.5,            0.031112,            0.008049,             0.11574,            0.082158,            0.027175,                 0.1,                   0,                   0
                   1,             0.11282,            0.094433,            0.027664,            0.037975,                 0.5,            0.031205,           0.0076147,             0.11564,            0.082387,            0.027158,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.11034,            0.083604,            0.027365,            0.038217,                 0.5,            0.031267,           0.0076118,             0.11551,             0.08261,            0.027133,            0.098121,           0.0001208,           0.0001208
                   3,              0.1129,            0.094172,            0.027132,            0.037736,                 0.5,            0.030837,           0.0056129,             0.11536,            0.082887,            0.027113,            0.097122,           0.0001218,           0.0001218
                   4,             0.11347,              0.1229,            0.027593,            0.037736,                 0.5,            0.030686,           0.0060355,             0.11516,            0.083162,            0.027078,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.11305,             0.10607,            0.027289,            0.024845,             0.44444,            0.018355,           0.0042971,             0.11531,            0.069405,             0.02718,                 0.1,                   0,                   0
                   1,             0.11291,             0.10456,            0.027515,            0.024615,             0.44444,            0.018154,           0.0031511,             0.11529,            0.069447,            0.027172,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.10978,            0.091044,            0.027466,            0.021672,             0.38889,            0.016162,           0.0027581,             0.11526,            0.069523,            0.027158,            0.098121,           0.0001208,           0.0001208
                   3,             0.11449,             0.13101,            0.027488,            0.024242,             0.44444,             0.01764,           0.0030786,             0.11502,            0.069756,            0.027109,            0.097122,           0.0001218,           0.0001218
                   4,             0.11273,            0.083081,            0.027503,            0.024242,             0.44444,            0.017674,           0.0030804,             0.11489,            0.069881,            0.027079,            0.096083,            8.32e-05,            8.32e-05
